"https://www.dropbox.com/scl/fi/4t05esvw2c1be6g2726ud/A.-V.-Leggenda-Sorrentina-estratto-da-Il-Menestrello-strenna-Natale-1842-Napoli-Tip.-Trombetta-1842.pdf?rlkey=q0bxrz3l2ddq9n71sjki481zd&amp;st=8mclnjtm&amp;dl=0"column_sep"A. V. - Leggenda Sorrentina (estratto da "Il Menestrello" strenna Natale 1842 - Napoli, Tip. Trombetta, 1842.pdf"
"https://www.dropbox.com/scl/fi/kmf19qwqlhm8llamr7uy5/AA.VV.-Giuseppe-Caliri-Piano-di-Sorrento-Tip.-La-Moderna.pdf?rlkey=nddeu1rbestxd5f1g8ybjy3kp&amp;st=m3s12ouy&amp;dl=0"column_sep"AA.VV. - Giuseppe Caliri - Piano di Sorrento, Tip. La Moderna.pdf"
"https://www.dropbox.com/scl/fi/3brwefh4p8gvr91jgkwce/AA.-VV.-Salvatore-Cinque-incontro-con-la-grafica-Piano-di-Sorrento-Tip.-La-Moderna-1972.pdf?rlkey=fs8wnxentuyiul1p0wip1t26w&amp;st=47oaqcm3&amp;dl=0"column_sep"AA. VV. - Salvatore Cinque, incontro con la grafica - Piano di Sorrento, Tip. La Moderna, 1972.pdf"
"https://www.dropbox.com/scl/fi/8kxrd3wxs54gkfwg7ynpl/AA.VV.-ISPRA-Note-illustrative-della-carta-geologica-d-Italia-fogli-466-485-Sorrento-Termini.pdf?rlkey=9ue6cl0zc0vaai46qltdbvv6u&amp;st=l3mx5ycj&amp;dl=0"column_sep"AA.VV.-ISPRA - Note illustrative della carta geologica d'Italia fogli 466 485 Sorrento Termini.pdf"
"https://www.dropbox.com/scl/fi/oe0xsaznj23bh7c2ril2z/Academiae-Litterarum-Regiae-Borussicae-Corpus-Inscriptionum-Latinarum-estratto-iscrizioni-Sorrento-e-Vico-Equense-Volume-10-1883.pdf?rlkey=zswfhmxyz7ph53emuflwy1lmt&amp;st=anzl9nh7&amp;dl=0"column_sep"Academiae Litterarum Regiae Borussicae - Corpus Inscriptionum Latinarum (estratto iscrizioni Sorrento e Vico Equense) - Volume 10, 1883.pdf"
"https://www.dropbox.com/scl/fi/58dqgawle7ormnh9ul32t/Accademia-degli-Umili-di-S.-Tommaso-D-Aquino-Dissertazione-letta-nella-Tornata-Ordinaria-del-9-gennaio-1890-Napoli-Tip.-di-Andrea-e-Salv.-Festa-1890.pdf?rlkey=czeb933adx6dvmglx2v48dqq6&amp;st=orotr9xd&amp;dl=0"column_sep"Accademia degli Umili di S. Tommaso D'Aquino - Dissertazione letta nella Tornata Ordinaria del 9 gennaio 1890 - Napoli, Tip. di Andrea e Salv Festa., 1890"
"https://www.dropbox.com/scl/fi/xjk6djdpeegsde9nj0qlq/Accademia-degli-Umili-di-S.-Tommaso-D-Aquino-Dissertazione-letta-nella-tornata-del-31-dicembre-1903-del-fine-della-Societ-Civile-dal-Sa.-Prof.-Pasquale-Palladino-S.-Agnello-Tip.-Tommaso-D-Onofrio-1904.pdf?rlkey=rmd761n5dhbvj0fk907b56tcc&amp;st=btaenrzj&amp;dl=0"column_sep"Accademia degli Umili di S. Tommaso D'Aquino - Dissertazione letta nella tornata del 31 dicembre 1903 (del fine della Società Civile dal Sa. Prof. Pasquale Palladino - S. Agnello, Tip. Tommaso D'Onofrio, 1904.pdf"
"https://www.dropbox.com/scl/fi/jw9vmxs4p99d1daolh9nv/Accademia-degli-Umili-di-S.-Tommaso-D-Aquino-Discorso-Inaugurale-e-Statuto-Accademia-eretta-nel-Seminario-Arciv.-di-Sorrento-il-7-marzo-1889-Sorrento-Tip.-Succursale-Festa-1889.pdf?rlkey=m9sol4h29g0wxg243vwo0gwcm&amp;st=w65foycr&amp;dl=0"column_sep"Accademia degli Umili di S. Tommaso D'Aquino - Discorso Inaugurale e Statuto (Accademia eretta nel Seminario Arciv. di Sorrento il 7 marzo 1889) - Sorrento, Tip. Succursale Festa, 1889.pdf"
"https://www.dropbox.com/scl/fi/4kia6vuw0h29iv0wmq9nx/Accademia-degli-Umili-di-S.-Tommaso-D-Aquino-Statuto-Accademia-eretta-nel-Seminario-Arciv.-di-Sorrento-il-7-marzo-1889-Sorrento-Tip.-Succursale-Festa-1889.pdf?rlkey=fl136tfp7gwkajjnkuzjelyao&amp;st=in0vcd25&amp;dl=0"column_sep"Accademia degli Umili di S. Tommaso D'Aquino - Statuto (Accademia eretta nel Seminario Arciv. di Sorrento il 7 marzo 1889) - Sorrento, Tip. Succursale Festa, 1889.pdf"
"https://www.dropbox.com/scl/fi/ys1dozcxb3pvqldjfskkk/Agostini-R.-Le-Tore-di-Sorrento-e-la-sua-pineta-estratto-dall-opuscolo-della-Seconda-Festa-della-Montagna-Monte-Faito-1968.pdf?rlkey=z6f19z7c8y265m009lwxp0ppw&amp;st=it06h53o&amp;dl=0"column_sep"Agostini, R. - Le Tore di Sorrento e la sua pineta (estratto dall'opuscolo della "Seconda Festa della Montagna") - Monte Faito, 1968.pdf"
"https://www.dropbox.com/scl/fi/zc4hxiicycq5bnl78dft1/Agresti-Alberto-Torquato-Tasso-a-Sorrento-idillio-in-un-atto-Napoli-Accademia-Pontaniana-1893.pdf?rlkey=5ecymlmq8mtsdrku2otnleskx&amp;st=suj9f7ss&amp;dl=0"column_sep"Agresti, Alberto - Torquato Tasso a Sorrento idillio in un atto - Napoli, Accademia Pontaniana, 1893.pdf"
